iter	Passed	Remaining
1060	9418	8335
1061	9428	8327
1062	9437	8319
1063	9446	8310
1064	9455	8301
1065	9463	8291
1066	9472	8282
1067	9481	8274
1068	9490	8265
1069	9499	8256
1070	9508	8247
1071	9516	8238
1072	9525	8229
1073	9534	8220
1074	9542	8211
1075	9551	8202
1076	9560	8193
1077	9570	8185
1078	9579	8176
1079	9587	8167
1080	9596	8158
1081	9605	8149
1082	9614	8141
1083	9624	8132
1084	9633	8123
1085	9641	8114
1086	9650	8105
1087	9659	8096
1088	9668	8087
1089	9677	8079
1090	9685	8070
1091	9694	8061
1092	9703	8052
1093	9712	8043
1094	9721	8034
1095	9730	8025
1096	9738	8016
1097	9746	8006
1098	9755	7998
1099	9764	7988
1100	9774	7980
1101	9783	7972
1102	9794	7965
1103	9803	7956
1104	9810	7946
1105	9820	7937
1106	9829	7929
1107	9838	7920
1108	9848	7912
1109	9858	7904
1110	9867	7895
1111	9877	7887
1112	9886	7878
1113	9895	7870
1114	9904	7861
1115	9912	7851
1116	9921	7843
1117	9930	7834
1118	9939	7825
1119	9949	7817
1120	9957	7807
1121	9965	7797
1122	9973	7789
1123	9982	7780
1124	9991	7771
1125	10000	7762
1126	10008	7752
1127	10017	7743
1128	10027	7735
1129	10040	7730
1130	10049	7721
1131	10058	7712
1132	10066	7703
1133	10075	7694
1134	10084	7685
1135	10092	7676
1136	10101	7667
1137	10109	7657
1138	10118	7648
1139	10127	7640
1140	10136	7631
1141	10145	7622
1142	10154	7613
1143	10163	7604
1144	10172	7596
1145	10181	7587
1146	10189	7577
1147	10198	7568
1148	10206	7559
1149	10214	7549
1150	10222	7540
1151	10230	7531
1152	10239	7522
1153	10248	7513
1154	10257	7504
1155	10265	7494
1156	10274	7486
1157	10283	7477
1158	10292	7468
1159	10301	7459
1160	10310	7450
1161	10319	7442
1162	10329	7433
1163	10337	7424
1164	10346	7415
1165	10355	7406
1166	10364	7398
1167	10373	7389
1168	10382	7380
1169	10390	7371
1170	10399	7362
1171	10409	7353
1172	10417	7344
1173	10426	7336
1174	10435	7327
1175	10444	7318
1176	10453	7309
1177	10462	7300
1178	10471	7291
1179	10479	7282
1180	10488	7273
1181	10497	7264
1182	10505	7255
1183	10513	7246
1184	10522	7237
1185	10531	7228
1186	10540	7219
1187	10549	7210
1188	10558	7201
1189	10567	7193
1190	10576	7184
1191	10585	7175
1192	10594	7166
1193	10602	7157
1194	10611	7148
1195	10619	7139
1196	10627	7129
1197	10636	7120
1198	10645	7111
1199	10654	7102
1200	10663	7094
1201	10671	7084
1202	10679	7075
1203	10688	7066
1204	10696	7056
1205	10704	7047
1206	10713	7038
1207	10721	7029
1208	10729	7020
1209	10738	7011
1210	10746	7001
1211	10756	6993
1212	10765	6984
1213	10774	6976
1214	10784	6967
1215	10793	6958
1216	10802	6950
1217	10811	6941
1218	10820	6932
1219	10830	6924
1220	10839	6915
1221	10848	6906
1222	10857	6897
1223	10866	6889
1224	10875	6880
1225	10884	6871
1226	10892	6862
1227	10901	6853
1228	10910	6844
1229	10919	6835
1230	10927	6826
1231	10936	6817
1232	10945	6808
1233	10953	6799
1234	10962	6790
1235	10971	6781
1236	10980	6772
1237	10989	6763
1238	10998	6755
1239	11007	6746
1240	11015	6737
1241	11023	6727
1242	11032	6719
1243	11041	6710
1244	11049	6700
1245	11058	6691
1246	11067	6682
1247	11075	6673
1248	11084	6664
1249	11093	6655
1250	11101	6646
1251	11110	6637
1252	11119	6628
1253	11127	6619
1254	11136	6610
1255	11144	6601
1256	11153	6592
1257	11162	6584
1258	11171	6575
1259	11180	6566
1260	11189	6557
1261	11197	6548
1262	11205	6538
1263	11214	6529
1264	11222	6520
1265	11231	6511
1266	11239	6502
1267	11247	6493
1268	11256	6484
1269	11265	6475
1270	11274	6466
1271	11283	6457
1272	11291	6448
1273	11300	6439
1274	11309	6430
1275	11318	6421
1276	11327	6413
1277	11335	6404
1278	11345	6395
1279	11354	6386
1280	11396	6396
1281	11413	6392
1282	11423	6383
1283	11432	6375
1284	11440	6365
1285	11449	6356
1286	11458	6348
1287	11467	6339
1288	11475	6330
1289	11484	6320
1290	11493	6311
1291	11502	6303
1292	11511	6294
1293	11520	6285
1294	11528	6276
1295	11537	6267
1296	11546	6258
1297	11554	6249
1298	11563	6240
1299	11571	6231
1300	11581	6222
1301	11589	6213
1302	11598	6204
1303	11606	6194
1304	11613	6185
1305	11622	6176
1306	11629	6166
1307	11639	6157
1308	11647	6148
1309	11656	6139
1310	11664	6130
1311	11673	6121
1312	11681	6112
1313	11691	6103
1314	11700	6094
1315	11708	6085
1316	11717	6076
1317	11726	6067
1318	11734	6058
1319	11743	6049
1320	11751	6040
1321	11760	6031
1322	11768	6022
1323	11777	6013
1324	11786	6004
1325	11794	5995
1326	11802	5985
1327	11811	5976
1328	11819	5967
1329	11828	5958
1330	11836	5949
1331	11845	5940
1332	11854	5931
1333	11864	5923
1334	11873	5914
1335	11882	5905
1336	11891	5896
1337	11900	5887
1338	11908	5878
1339	11918	5870
1340	11927	5861
1341	11936	5852
1342	11945	5843
1343	11953	5834
1344	11962	5825
1345	11971	5816
1346	11980	5807
1347	11989	5799
1348	11997	5789
1349	12005	5780
1350	12013	5771
1351	12024	5762
1352	12032	5753
1353	12041	5745
1354	12050	5736
1355	12059	5727
1356	12067	5717
1357	12075	5708
1358	12083	5699
1359	12092	5690
1360	12100	5681
1361	12109	5672
1362	12118	5663
1363	12127	5654
1364	12136	5645
1365	12144	5636
1366	12152	5627
1367	12161	5618
1368	12171	5609
1369	12179	5600
1370	12187	5591
1371	12195	5582
1372	12204	5573
1373	12213	5564
1374	12222	5555
1375	12230	5546
1376	12239	5537
1377	12248	5528
1378	12257	5519
1379	12266	5510
1380	12274	5501
1381	12283	5492
1382	12290	5483
1383	12298	5474
1384	12307	5464
1385	12316	5456
1386	12324	5447
1387	12333	5437
1388	12341	5428
1389	12350	5420
1390	12359	5411
1391	12368	5402
1392	12377	5393
1393	12386	5384
1394	12394	5375
1395	12404	5366
1396	12412	5357
1397	12421	5348
1398	12427	5338
1399	12436	5330
1400	12445	5320
1401	12453	5311
1402	12462	5302
1403	12471	5294
1404	12479	5284
1405	12488	5276
1406	12497	5267
1407	12506	5258
1408	12515	5249
1409	12523	5240
1410	12532	5231
1411	12541	5222
1412	12549	5213
1413	12558	5204
1414	12566	5195
1415	12575	5186
1416	12584	5177
1417	12592	5168
1418	12601	5159
1419	12610	5150
1420	12618	5141
1421	12627	5132
1422	12636	5123
1423	12645	5115
1424	12654	5106
1425	12664	5097
1426	12672	5088
1427	12681	5079
1428	12690	5070
1429	12698	5061
1430	12706	5052
1431	12715	5043
1432	12724	5034
1433	12733	5025
1434	12741	5016
1435	12750	5007
1436	12759	4998
1437	12767	4989
1438	12776	4981
1439	12785	4972
1440	12794	4963
1441	12803	4954
1442	12812	4945
1443	12821	4936
1444	12830	4927
1445	12839	4919
1446	12848	4910
1447	12856	4901
1448	12865	4892
1449	12873	4883
1450	12882	4874
1451	12891	4865
1452	12899	4856
1453	12908	4847
1454	12916	4838
1455	12925	4829
1456	12933	4820
1457	12942	4811
1458	12951	4802
1459	12960	4793
1460	12969	4784
1461	12978	4775
1462	12987	4767
1463	12996	4758
1464	13004	4749
1465	13013	4740
1466	13023	4731
1467	13031	4722
1468	13040	4713
1469	13049	4704
1470	13058	4696
1471	13067	4687
1472	13075	4677
1473	13084	4669
1474	13093	4660
1475	13101	4651
1476	13109	4642
1477	13118	4633
1478	13127	4624
1479	13135	4615
1480	13144	4606
1481	13152	4597
1482	13161	4588
1483	13170	4579
1484	13179	4570
1485	13187	4561
1486	13196	4552
1487	13205	4543
1488	13214	4534
1489	13222	4525
1490	13231	4516
1491	13240	4507
1492	13248	4499
1493	13257	4490
1494	13266	4481
1495	13274	4472
1496	13283	4463
1497	13292	4454
1498	13300	4445
1499	13309	4436
1500	13318	4427
1501	13327	4418
1502	13335	4409
1503	13345	4401
1504	13354	4392
1505	13362	4383
1506	13371	4374
1507	13380	4365
1508	13388	4356
1509	13396	4347
1510	13405	4338
1511	13414	4329
1512	13423	4320
1513	13432	4311
1514	13440	4302
1515	13449	4293
1516	13457	4284
1517	13466	4275
1518	13475	4266
1519	13484	4258
1520	13493	4249
1521	13502	4240
1522	13510	4231
1523	13519	4222
1524	13528	4213
1525	13536	4204
1526	13545	4195
1527	13554	4187
1528	13563	4178
1529	13572	4169
1530	13581	4160
1531	13590	4151
1532	13598	4142
1533	13607	4133
1534	13615	4124
1535	13624	4115
1536	13633	4106
1537	13642	4097
1538	13651	4089
1539	13660	4080
1540	13668	4071
1541	13677	4062
1542	13686	4053
1543	13695	4044
1544	13704	4035
1545	13712	4026
1546	13721	4018
1547	13730	4009
1548	13738	4000
1549	13747	3991
1550	13756	3982
1551	13765	3973
1552	13773	3964
1553	13782	3955
1554	13790	3946
1555	13799	3937
1556	13808	3928
1557	13816	3919
1558	13825	3910
1559	13834	3902
1560	13843	3893
1561	13852	3884
1562	13860	3875
1563	13869	3866
1564	13878	3857
1565	13886	3848
1566	13896	3839
1567	13904	3830
1568	13913	3821
1569	13920	3812
1570	13929	3803
1571	13938	3794
1572	13947	3786
1573	13956	3777
1574	13965	3768
1575	13974	3759
1576	13983	3750
1577	13991	3741
1578	13999	3732
1579	14008	3723
1580	14017	3715
1581	14026	3706
1582	14035	3697
1583	14043	3688
1584	14052	3679
1585	14061	3670
1586	14070	3661
1587	14079	3652
1588	14087	3643
1589	14096	3635
1590	14105	3626
1591	14114	3617
1592	14123	3608
1593	14131	3599
1594	14140	3590
1595	14149	3581
1596	14158	3572
1597	14166	3563
1598	14175	3555
1599	14184	3546
1600	14193	3537
1601	14201	3528
1602	14209	3519
1603	14219	3510
1604	14227	3501
1605	14236	3492
1606	14245	3483
1607	14254	3474
1608	14263	3466
1609	14272	3457
1610	14281	3448
1611	14290	3439
1612	14300	3431
1613	14309	3422
1614	14318	3413
1615	14327	3404
1616	14335	3395
1617	14344	3386
1618	14352	3377
1619	14361	3368
1620	14370	3360
1621	14379	3351
1622	14388	3342
1623	14397	3333
1624	14406	3324
1625	14415	3315
1626	14424	3306
1627	14433	3297
1628	14441	3289
1629	14450	3280
1630	14459	3271
1631	14468	3262
1632	14477	3253
1633	14485	3244
1634	14494	3235
1635	14502	3226
1636	14511	3217
1637	14520	3209
1638	14529	3200
1639	14539	3191
1640	14548	3182
1641	14556	3173
1642	14565	3164
1643	14574	3156
1644	14584	3147
1645	14593	3138
1646	14602	3129
1647	14610	3120
1648	14619	3111
1649	14628	3102
1650	14637	3094
1651	14647	3085
1652	14656	3076
1653	14665	3067
1654	14673	3058
1655	14682	3049
1656	14691	3041
1657	14699	3032
1658	14708	3023
1659	14717	3014
1660	14726	3005
1661	14735	2996
1662	14743	2987
1663	14752	2978
1664	14761	2970
1665	14770	2961
1666	14779	2952
1667	14788	2943
1668	14797	2934
1669	14806	2925
1670	14815	2916
1671	14824	2908
1672	14834	2899
1673	14843	2890
1674	14852	2881
